Source_Name,z_best,Size,angular_size,L_144,Mass_median,flag_mass,fri,frii,hybrid,spiral,relaxed,cshaped,sshaped,misaligned,wings,xshaped,straight,multihotspots,continuous,banding,onesided,restarted,cluster,merger,diffuse,unknown,featurecount,hasanyone,hasanytwo,hasall,has_exactly_1,has_exactly_2,se,ms,em
ILTJ000458.25+281113.7,0.722142,2139.1442807130493,295.7119310882631,4.315573567134944e+26,,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2,False,False,False,False,False,False,False,False
ILTJ000502.13+275207.2,0.7945075,1910.8000700189875,255.09148545628247,4.742337636332503e+27,11.618437767028809,True,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,4,True,True,True,False,False,True,True,True
ILTJ000524.39+262053.8,0.492010235786438,735.5327853083861,121.54089196793728,5.163451263621834e+26,11.475452423095703,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,False,False,False,False,False,False,False,False
ILTJ000530.48+295103.5,1.101739,626.4397326560386,76.6245776871592,6.97901261624687e+26,11.296393394470217,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,3,True,True,False,False,True,False,False,True
ILTJ000540.72+195022.5,0.6843017,757.3214906396072,106.95697281920648,9.21855559747964e+27,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False
ILTJ000602.01+263639.3,1.2000911235809326,1544.2843598027596,186.20282079020805,9.893810356645886e+26,10.941896438598633,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3,False,False,False,False,False,False,False,False
ILTJ000605.27+344504.6,0.3194121122360229,379.42004435861793,81.60643995515976,5.7157651840911806e+25,11.525680541992188,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,4,True,False,False,True,False,False,False,False
ILTJ000609.78+240233.6,0.8022335,3204.954883340144,426.448200831712,3.011371735521616e+26,10.816728591918944,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,3,True,False,False,True,False,False,False,False
ILTJ000617.63+171242.4,1.012454,712.3855339663414,88.69494582580322,7.532168757392073e+27,11.297192573547363,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False
ILTJ000624.41+263545.7,0.8113472,1453.5258413059908,192.6698492977911,6.794364996211842e+27,11.624485969543455,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False
