filename,field,crop_index,p_low,p_high,source_count
J1518.3-4632_aFix_pol_I_Farcsec_5pln_cor_crop_0090.npy,J1518.3-4632_aFix_pol_I_Farcsec_5pln_cor,90,-2.6316898583900183e-05,3.836355244857259e-05,
J1705.1-8210_aFix_pol_I_Farcsec_5pln_cor_crop_0115.npy,J1705.1-8210_aFix_pol_I_Farcsec_5pln_cor,115,-2.258976564917248e-05,4.054370947415009e-05,
Abell_2645_noFix_pol_I_Farcsec_5pln_cor_crop_0143.npy,Abell_2645_noFix_pol_I_Farcsec_5pln_cor,143,-3.2132909836946055e-05,5.223612970439717e-05,
J1130.0-4213_aFix_pol_I_Farcsec_5pln_cor_crop_0001.npy,J1130.0-4213_aFix_pol_I_Farcsec_5pln_cor,1,-1.5924631952657364e-05,3.826789543381892e-05,
Abell_3558_aFix_pol_I_Farcsec_5pln_cor_crop_0217.npy,Abell_3558_aFix_pol_I_Farcsec_5pln_cor,217,-2.058644531643949e-05,4.082424857188016e-05,
J1240.2-4825_aFix_pol_I_Farcsec_5pln_cor_crop_0193.npy,J1240.2-4825_aFix_pol_I_Farcsec_5pln_cor,193,-1.6159494407474995e-05,3.676811684272252e-05,
J1705.1-8210_aFix_pol_I_Farcsec_5pln_cor_crop_0178.npy,J1705.1-8210_aFix_pol_I_Farcsec_5pln_cor,178,-2.258976564917248e-05,4.054370947415009e-05,
RXCJ0225.1-22928_aFix_pol_I_Farcsec_5pln_cor_crop_0065.npy,RXCJ0225.1-22928_aFix_pol_I_Farcsec_5pln_cor,65,-3.11890325974673e-05,5.4694857681170106e-05,
J1040.7-7047_aFix_pol_I_Farcsec_5pln_cor_crop_0191.npy,J1040.7-7047_aFix_pol_I_Farcsec_5pln_cor,191,-2.545410461607389e-05,4.294725295039825e-05,
J0943.4-7619_aFix_pol_I_Farcsec_5pln_cor_crop_0084.npy,J0943.4-7619_aFix_pol_I_Farcsec_5pln_cor,84,-2.481557567080017e-05,4.054028249811381e-05,
